,,blocks,,,
kernel,side,4,128,1024,
matAdd,16,895.957,859.6,1252.63,
,32,879.843,864.676,1311.51,
,64,884.918,868.347,1326.46,
,128,833.245,841.285,1310.3,
,256,904.717,972.034,1270.42,
,512,956.929,951.604,1332.05,
,1024,793.048,899.694,1329.03,
,2048,850.101,875.09,1304.7,
,4096,901.977,914.398,1425.64,
,8192,1211.78,1224.43,1695.33,
,,,,,
,,blocks,,,
kernel,side,4,128,1024,
matAddRow,16,854.455,878.45,1351.26,
,32,841.712,848.854,1537.74,
,64,843.779,839.309,1455.19,
,128,857.636,857.064,1533.13,
,256,882.637,926.916,1948.61,
,512,922.087,1110.53,2554.84,
,1024,859.719,1380.56,5644.79,
,2048,970.595,3016.84,18495.1,
,4096,1463.77,9553.59,69747.5,
,8192,3254.58,35276.6,274125,
,,,,,
,,blocks,,,
kernel,side,4,128,1024,
matAddCol,16,926.758,1009.79,1514.42,
,32,794.81,909.531,1417.46,
,64,1008.59,894.03,1485.11,
,128,919.737,901.497,1438.16,
,256,879.783,999.282,1894.12,
,512,886.393,1149.07,3792.79,
,1024,914.402,2153.87,11903.7,
,2048,1323.87,6269.85,44160.8,
,4096,2264.16,22596.7,172893,
,8192,6327.77,86814.6,686504,
,,,,,
,,blocks,,,
kernel,side,4,128,1024,
dgemv,16,874.588,909.894,1359.07,
,32,888.793,941.622,1332.67,
,64,907.562,900.74,1455.82,
,128,879.145,873.261,1925.38,
,256,900.214,1147.7,3821.62,
,512,898.196,2043.89,10341.6,
,1024,1149.35,5381.06,37498.4,
,2048,2040.23,18937.8,146221,
,4096,5412.79,73627.6,582980,
,8192,19124,295685,aborted,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
